"","cntry","TIME","avgpolintr","avgtrstprl","avgtrstplt","avgtrstep","avgvote","avgcontplt","avgwrkprty","avgwrkorg","avgbadge","avgsgnptit","avgpbldmn","avgbctprd","avgclsprty","avgmmbprty","avgedulvla","avguempla","avguempli","avgdsbld","avgmbtru","GEO","AGE","UNIT","SEX","Value","Flag.and.Footnotes"
"52","FI",2002,2.784,6.16,5.168,5.536,NA,1.856,2,1.784,1.816,1.64,1.96,1.704,1.536,1.976,2.664,0.08,0.04,0,2.576,NA,NA,NA,NA,NA,NA
"53","FI",2004,2.67647058823529,6.46078431372549,5.33333333333333,5.94117647058824,NA,1.90196078431373,1.97058823529412,1.80392156862745,1.79411764705882,1.63725490196078,1.94117647058824,1.61764705882353,1.54901960784314,1.97058823529412,2.75490196078431,0.137254901960784,0.00980392156862745,0.00980392156862745,2.48039215686275,NA,NA,NA,NA,NA,NA
"54","FI",2006,2.59493670886076,6.41772151898734,5.44303797468354,5.65822784810127,NA,1.94936708860759,1.9746835443038,1.81012658227848,1.82278481012658,1.50632911392405,1.89873417721519,1.65822784810127,1.50632911392405,1.9746835443038,2.74683544303797,0.0506329113924051,0.0506329113924051,0,2.45569620253165,"Finland","Less than 25 years","Percentage of active population","Total","18.7",""
"55","FI",2008,2.74647887323944,6.09859154929577,5.22535211267606,5.94366197183099,NA,1.90140845070423,1.98591549295775,1.74647887323944,1.83098591549296,1.61971830985915,1.95774647887324,1.64788732394366,1.56338028169014,1.97183098591549,2.84507042253521,0.112676056338028,0.0563380281690141,0.0140845070422535,2.54929577464789,"Finland","Less than 25 years","Percentage of active population","Total","16.5",""
"56","FI",2010,2.87628865979381,5.47422680412371,4.51546391752577,5.4639175257732,NA,1.89690721649485,1.97938144329897,1.65979381443299,1.80412371134021,1.65979381443299,1.96907216494845,1.62886597938144,1.57731958762887,1.96907216494845,2.79381443298969,0.11340206185567,0.0309278350515464,0,2.19587628865979,"Finland","Less than 25 years","Percentage of active population","Total","21.4",""
"57","FI",2012,2.66346153846154,5.99038461538461,5.44230769230769,5.72115384615385,NA,1.97115384615385,1.98076923076923,1.78846153846154,1.80769230769231,1.73076923076923,1.96153846153846,1.63461538461538,1.48076923076923,NA,2.83653846153846,0.125,0.0384615384615385,0.0192307692307692,2.41346153846154,"Finland","Less than 25 years","Percentage of active population","Total","19.0",""
"58","FI",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Finland","Less than 25 years","Percentage of active population","Total","20.5",""
"59","FR",2002,2.58139534883721,4.74418604651163,3.97674418604651,4.74418604651163,NA,1.86046511627907,1.95348837209302,1.83720930232558,1.7906976744186,1.53488372093023,1.67441860465116,1.6046511627907,1.69767441860465,2,3.95348837209302,0.162790697674419,0.13953488372093,0,2.97674418604651,NA,NA,NA,NA,NA,NA
"60","FR",2004,2.75903614457831,4.30120481927711,3.55421686746988,4.74698795180723,NA,1.89156626506024,1.95180722891566,1.80722891566265,1.7710843373494,1.63855421686747,1.72289156626506,1.72289156626506,1.67469879518072,2,3.60240963855422,0.144578313253012,0.108433734939759,0,3,NA,NA,NA,NA,NA,NA
"61","FR",2006,2.71232876712329,4.28767123287671,3.57534246575342,5.21917808219178,NA,1.87671232876712,1.97260273972603,1.82191780821918,1.79452054794521,1.57534246575342,1.58904109589041,1.79452054794521,1.6027397260274,1.98630136986301,3.08219178082192,0.191780821917808,0.0958904109589041,0,3,"France","Less than 25 years","Percentage of active population","Total","22.0",""
"62","FR",2008,2.67741935483871,4.53763440860215,3.64516129032258,5.08602150537634,NA,1.9247311827957,1.96774193548387,1.87096774193548,1.8494623655914,1.6989247311828,1.78494623655914,1.81720430107527,1.56989247311828,1.97849462365591,3.3010752688172,0.193548387096774,0.0645161290322581,0.032258064516129,3,"France","Less than 25 years","Percentage of active population","Total","19.0",""
"63","FR",2010,2.90277777777778,4.18055555555556,2.83333333333333,4.76388888888889,NA,1.93055555555556,1.95833333333333,1.80555555555556,1.80555555555556,1.63888888888889,1.70833333333333,1.68055555555556,1.72222222222222,2,3.22222222222222,0.208333333333333,0.0694444444444444,0,2.97222222222222,"France","Less than 25 years","Percentage of active population","Total","23.3",""
"64","FR",2012,2.76388888888889,5.09722222222222,3.80555555555556,5.34722222222222,NA,1.94444444444444,1.95833333333333,1.98611111111111,1.88888888888889,1.75,1.77777777777778,1.80555555555556,1.54166666666667,NA,3.15277777777778,0.138888888888889,0.0277777777777778,0.0138888888888889,2.95833333333333,"France","Less than 25 years","Percentage of active population","Total","24.4",""
"65","FR",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France","Less than 25 years","Percentage of active population","Total","24.3",""
"66","GB",2002,2.66666666666667,4.96296296296296,4.27777777777778,4.7962962962963,NA,1.90740740740741,2,1.96296296296296,1.85185185185185,1.61111111111111,1.90740740740741,1.88888888888889,1.64814814814815,2,2.7037037037037,0.222222222222222,0.0925925925925926,0.037037037037037,2.92592592592593,NA,NA,NA,NA,NA,NA
"67","GB",2004,2.9041095890411,4.57534246575342,3.71232876712329,4.17808219178082,NA,1.95890410958904,2,1.94520547945205,1.94520547945205,1.72602739726027,1.95890410958904,1.94520547945205,1.73972602739726,2,2.53424657534247,0.301369863013699,0.0958904109589041,0.0410958904109589,2.82191780821918,NA,NA,NA,NA,NA,NA
"68","GB",2006,2.92727272727273,4.50909090909091,3.81818181818182,4.34545454545455,NA,1.90909090909091,2,1.94545454545455,1.92727272727273,1.72727272727273,1.96363636363636,1.90909090909091,1.70909090909091,1.98181818181818,2.8,0.290909090909091,0.0727272727272727,0.0181818181818182,2.83636363636364,"United Kingdom","Less than 25 years","Percentage of active population","Total","13.9",""
"69","GB",2008,2.65151515151515,4.5,3.90909090909091,4.54545454545455,NA,1.89393939393939,1.98484848484848,1.93939393939394,1.93939393939394,1.6969696969697,1.96969696969697,1.86363636363636,1.72727272727273,2,3.06060606060606,0.196969696969697,0.0454545454545455,0.0303030303030303,2.95454545454545,"United Kingdom","Less than 25 years","Percentage of active population","Total","15.0",""
